tic,datafqtr,atq,cshoq,niq,prccq
CSCO,2020Q2,90426,4241,2878,45.97
CSCO,2020Q3,91394,4220,2774,42.38
CSCO,2020Q4,94853,4237,2636,47.1
CSCO,2021Q1,95003,4222,2174,35.9
CSCO,2021Q2,95601,4221,2545,44.58
CSCO,2021Q3,93896,4215,2863,50.91
CSCO,2021Q4,97497,4217,3009,55.37
CSCO,2022Q1,95981,4217,2980,55.97
CSCO,2022Q2,94262,4151,2973,55.67
CSCO,2022Q3,92797,4149,3044,48.98
CSCO,2022Q4,94002,4110,2815,45.37
CSCO,2023Q1,93054,4103,2670,45.43
CSCO,2023Q2,95840,4095,2773,48.67
CSCO,2023Q3,97529,4075,3212,47.25
CSCO,2023Q4,101852,4066,3958,52.04
CSCO,2024Q1,98782,4049,3638,52.13
CSCO,2024Q2,101174,4050,2634,50.18
CSCO,2024Q3,122998,4031,1886,46.98
W,2014Q4,555.523,83.182,-72.554,19.85
W,2015Q1,531.208,83.468,-27.136,32.12
W,2015Q2,543.985,83.747,-19.334,37.64
W,2015Q3,601.344,84.039,-15.478,35.06
W,2015Q4,694.581,84.311,-15.495,47.62
W,2016Q1,667.427,84.631,-41.205,43.22
W,2016Q2,663.968,84.906,-48.274,39
W,2016Q3,684.119,85.405,-60.94,39.37
W,2016Q4,761.683,85.831,-43.956,35.05
W,2017Q1,742.123,86.447,-56.539,40.49
W,2017Q2,751.478,87.031,-38.875,76.88
W,2017Q3,1138.14,87.646,-76.429,67.4
W,2017Q4,1213.403,88.209,-72.771,80.27
W,2018Q1,1226.446,88.854,-107.775,67.53
W,2018Q2,1287.268,89.477,-100.734,118.76
W,2018Q3,1299.638,90.127,-151.726,147.67
W,2018Q4,1890.85,90.748,-143.845,90.08
W,2019Q1,2113.865,91.401,-200.389,148.45
W,2019Q2,2182.1,92.098,-181.938,146
W,2019Q3,3007.635,92.874,-272.035,112.12
W,2019Q4,2953.048,93.6,-330.222,90.37
W,2020Q1,2751.421,94.363,-285.865,53.44
W,2020Q2,4379.496,95.065,273.877,197.61
W,2020Q3,4558.44,95.597,173.166,291.01
W,2020Q4,4569.929,99.545,23.818,225.81
W,2021Q1,4774.933,103.76,18.234,314.75
W,2021Q2,4681.224,103.577,130.428,315.71
W,2021Q3,4466.217,104.231,-78.021,255.51
W,2021Q4,4570,104.843,-201.641,189.97
W,2022Q1,4256,104.906,-319,110.78
W,2022Q2,4098,105.542,-378,43.56
W,2022Q3,3653,106.464,-283,32.55
W,2022Q4,3580,108.595,-351,32.89
W,2023Q1,3212,111.237,-355,34.34
W,2023Q2,3382,112.61,-46,65.01
W,2023Q3,3360,116.181,-163,60.57
W,2023Q4,3474,118.149,-174,61.7
W,2024Q1,3240,120.428,-248,67.88
HUBS,2014Q4,174.858,31.431,-19.697,33.61
HUBS,2015Q1,209.072,32.486,-10.858,39.9
HUBS,2015Q2,208.857,33.755,-11.392,49.58
HUBS,2015Q3,207.837,34.097,-13.552,46.37
HUBS,2015Q4,220.379,34.313,-10.251,56.31
HUBS,2016Q1,229.992,34.944,-10.154,43.62
HUBS,2016Q2,236.534,35.346,-11.064,43.42
HUBS,2016Q3,247.786,35.609,-10.515,57.62
HUBS,2016Q4,259.755,35.784,-13.829,47
HUBS,2017Q1,275.281,35.784,-8.075,60.55
HUBS,2017Q2,667.519,36.761,-9.521,65.75
HUBS,2017Q3,686.326,37.182,-10.583,84.05
HUBS,2017Q4,712.175,37.503,-11.535,88.4
HUBS,2018Q1,742.975,38.409,-15.448,108.3
HUBS,2018Q2,764.821,38.793,-18.225,125.4
HUBS,2018Q3,785.648,38.907,-18.663,150.95
HUBS,2018Q4,833.953,39.3,-11.492,125.73
HUBS,2019Q1,1370.125,41.891,-11.1,166.21
HUBS,2019Q2,1463.492,42.276,-17.357,170.52
HUBS,2019Q3,1478.881,42.639,-14.987,151.61
HUBS,2019Q4,1569.268,42.955,-10.302,158.5
HUBS,2020Q1,1586.51,43.366,-17.716,133.19
HUBS,2020Q2,1810.976,45.386,-29.401,224.35
HUBS,2020Q3,1875.421,45.701,-22.498,292.23
HUBS,2020Q4,1973.366,46.115,-15.416,396.44
HUBS,2021Q1,1969.817,46.596,-23.159,454.21
HUBS,2021Q2,2018.612,46.859,-24.572,582.72
HUBS,2021Q3,2065.475,47.106,-13.735,676.09
HUBS,2021Q4,2174.854,47.39,-16.371,659.15
HUBS,2022Q1,2253.302,47.64,-9.341,474.94
HUBS,2022Q2,2273.959,47.896,-56.361,300.65
HUBS,2022Q3,2296.919,48.255,-31.411,270.12
HUBS,2022Q4,2544.738,49.217,-15.636,289.13
HUBS,2023Q1,2643.793,49.473,-36.72,428.75
HUBS,2023Q2,2729.095,49.841,-111.803,532.09
HUBS,2023Q3,2815.648,50.114,-5.463,492.5
HUBS,2023Q4,3071.392,50.448,-13.604,580.54
HUBS,2024Q1,3193.103,50.76,5.934,626.56
TRMB,2012Q2,2972.962,125.68,53.692,46.01
TRMB,2012Q3,3021.493,126.075,53.364,47.66
TRMB,2012Q4,3469.104,127.243,33.186,59.78
TRMB,2013Q1,3565.721,255.758,49.808,29.98
TRMB,2013Q2,3633.76,256.566,54.581,25.99
TRMB,2013Q3,3635.172,257.451,54.469,29.71
TRMB,2013Q4,3700.84,258.711,59.997,34.7
TRMB,2014Q1,3777.583,260.832,68.624,38.87
TRMB,2014Q2,3867.239,261.34,77.834,36.95
TRMB,2014Q3,3819.374,259.895,11.832,30.5
